ZIPCODE,SVI_HC_Disability,SVI_HC_English,SVI_HH_SingleParent,SVI_SS_Poverty,SVI_SS_No_HS,SVI_HT_MultiUnit,SVI_HT_Crowding,SVI_HT_MobileHomes,SVI_SS_HousingBurden,SVI_HT_NoVehicle,SVI_SS_No_Health_Ins
63304,10.14,0.25,18.54,4.89,3.48,4.03,0.39,0.15,43.27,1.52,3.34
63330,7.81,0,100,21.09,16.5,0,0,12.39,0,15.71,1.56
63332,4.89,0.12,15.47,8.82,4.43,0,0,2.92,11.11,2.11,1.33
63333,17,0.64,2.78,27.61,14.6,0,0.93,20.58,40.54,4.67,3.47
63334,11.65,0.05,34.05,29.24,13.52,6.41,0.2,11.35,32.46,8.1,9.28
63336,24.13,0,49.34,19.02,22.19,3.5,1.21,5.59,44.92,4.84,6.58
63339,18.21,1.78,6.7,37.31,15.56,0.93,8.62,30.56,16,7.38,11.59
63341,12.08,0,6.49,2.5,3.47,0,0,3.5,0,0.75,1.05
63343,15.86,0.11,32.57,29.18,16.6,1.27,1.48,15.19,31.83,7.54,8.96
63344,12.07,0,14.47,14.13,6.63,0.32,0,14.08,20.59,0.65,4.79
63345,10.23,0,1.72,52.16,10.04,0,0,4.09,0,0.73,6.69
63347,19.14,0,50.74,15.05,11.34,0,0.4,34.8,55.68,6.2,7.18
63348,13.54,0,13.13,2.59,5.24,0,0,1.87,34.1,0.57,1.81
63349,20.09,1.37,34.85,16.59,10.54,0,2.58,18.5,75.68,0.61,12.11
63350,25.27,0,35.19,15.41,13.05,0,20.24,11.83,30.77,0.81,3.2
63351,23.43,0,12.83,8.92,12.13,0,2.46,11.73,15.47,4.3,10.32
63352,23.26,0.27,56.71,26.63,10.99,0,0.37,10.36,19.4,2.39,7.14
63353,14.19,0,42.7,25.03,12.45,3.75,2.6,11.52,38.11,4.89,10.26
63378,10.13,0.09,18.36,13.38,5.62,0,1.66,2.92,50.49,0.22,11.89
63357,10.13,0.09,18.36,13.38,5.62,0,1.66,2.92,50.49,0.22,11.89
63342,10.13,0.09,18.36,13.38,5.62,0,1.66,2.92,50.49,0.22,11.89
63370,8.85,0,32.85,14.88,15.16,0,5.77,15.48,12.2,5.19,12.77
63359,8.85,0,32.85,14.88,15.16,0,5.77,15.48,12.2,5.19,12.77
63361,13.3,0,34.67,22.35,12.36,4.29,2.19,9.68,21.36,3.39,12.34
63362,15.49,0,28.67,15.71,11.39,4.72,1.43,31.6,39.62,3.06,9.07
63363,16.22,0.94,50.98,27.75,15.13,0,3.76,20.21,41.06,2.46,12.15
63366,10.8,0.33,21.66,8.56,6.02,6.36,1.05,6,46.8,2.66,6.15
63367,10.69,0.34,13.82,5.02,3.2,5.77,0.17,0.45,21.47,0.94,2.35
63368,8.68,0.52,15.14,5.75,3.5,8.7,0.73,3.17,44.76,4.42,3.96
63369,17.65,0,19.88,17.7,11.09,2.94,0,19.26,46.11,0,2.3
63373,16.99,0,12.94,9.77,7.25,0,0,1.66,46.67,0.91,8.5
63376,10.27,0.54,19.36,5.83,4.83,6.81,1.19,1.44,40.86,1.97,4.47
63377,15.23,0,16.96,14.17,18.1,0,2.68,9.98,22.08,8.8,5.05
63379,13.73,0.02,28.9,13.06,6.54,2.95,0.8,8.48,43.4,3.57,6.47
63381,14.13,0,45.32,33.98,14.89,0,1.69,55.65,80.85,2.82,8.66
63382,17.4,0.21,40.35,24.55,18.27,2.03,0.87,4.81,48.89,4.01,10.97
63383,17.56,0.16,41.66,21.35,10.18,0.89,6.28,12.16,55.48,2.37,8.38
63380,17.56,0.16,41.66,21.35,10.18,0.89,6.28,12.16,55.48,2.37,8.38
63384,18.94,0.27,38.98,23.64,21.41,0.19,0,8.48,34.75,3.23,12.17
63385,8.3,0.39,22.22,7.22,5.71,4.6,0.92,1.45,38.67,2.72,3.26
63365,8.3,0.39,22.22,7.22,5.71,4.6,0.92,1.45,38.67,2.72,3.26
63346,8.3,0.39,22.22,7.22,5.71,4.6,0.92,1.45,38.67,2.72,3.26
63386,14.89,0,10.67,10.85,10.53,0,0.52,4.35,28.13,1.55,6.6
63387,16.47,0,89.47,22.35,25,0,0,21.05,71.43,10.53,9.41
63388,20.24,0,43.59,21.14,20.33,0,0,41.03,55.56,0,13.04
63389,15.62,0.76,14.84,20.16,11.99,1.31,2.66,16.12,22.72,2.24,7.02
63390,13.11,0.54,33.55,22.18,15.18,1,6.34,15.24,43.65,2.58,4.8
63401,15.9,0,35.47,27.25,11.6,6.32,1.4,3.77,39.14,7.81,8.35
63430,7.6,2.35,4.64,42.13,32.18,4.87,18.31,18.83,45.45,21.6,37.98
63431,32.37,0,0,16.05,7.84,0,3.15,2.6,0,0,0
63442,18.34,0,2.05,12.5,13.3,0,3,4.27,41.18,3.43,30.19
63432,18.34,0,2.05,12.5,13.3,0,3,4.27,41.18,3.43,30.19
63433,,0,,,,0,,49.15,,,
63434,16.28,0,11.89,33.33,19.45,9.59,0,7.56,4.55,3.73,6.36
63435,14.74,0.66,30.28,33.81,15.88,1.36,4.03,11.31,38.69,6.19,16.66
63436,7.9,0,20,14.77,9.12,1.2,1.83,8.76,28.92,6,10.96
63437,15.18,0,41.93,45.73,9.09,6.99,1.23,10.03,29.91,4.62,14.08
63438,18.63,0,0,8.7,1.2,0,0,24.72,63.16,0,1.55
63439,7.39,0,0,18.97,44.44,0,0,12,80,5,50.74
63440,9.28,0,4.11,21.5,11.61,0,0.83,16.02,61.4,8.75,7.58
63441,11.84,0,28.4,16.19,11.98,0,2.87,11.71,44.07,5.74,10.2
63443,10.42,0,33.33,41.25,13.11,0,0,32.23,12.9,2.05,16.67
63466,19.59,0.99,47.25,21.29,12.5,0.6,1.83,13.73,43.13,10.91,14.83
63445,19.59,0.99,47.25,21.29,12.5,0.6,1.83,13.73,43.13,10.91,14.83
63446,15.54,0.37,7.21,44.76,17.28,0,5.03,13.31,0,5.03,32.77
63447,21.37,0,31.88,44.87,19.22,0,2.47,14.34,27.34,7.65,7.52
63448,17.05,0,20.55,17.94,11.4,3.75,0,20,72.28,5.62,5.25
63450,5.63,0,,0,1.27,0,0,15.96,,0,0
63451,7.78,0,0,11.98,2.19,0,0,14.11,0,0,5.39
63452,10.41,0,11.88,18.56,4.47,0.81,0,15.8,33.33,5.25,2.09
63453,5.58,0,5.13,3.51,5.62,0,0,16.23,0,0,3.51
63454,7.36,0,22.33,18.25,4.87,0,3.33,19.69,45.95,2.12,3.73
63456,14.83,0.24,23.57,22.79,11.97,4.37,0.83,19.49,26.37,10.78,7.2
63457,7.73,0,31.82,13.18,14,0,0,1.23,0,6.73,4.09
63458,28.57,0,73.33,38.96,8.06,0,0,7.55,0,0,5.19
63467,14.94,0,14.18,15.93,10.13,0.23,0.64,10.85,56.15,1.85,4.73
63459,14.94,0,14.18,15.93,10.13,0.23,0.64,10.85,56.15,1.85,4.73
63460,30.4,0,0,9.42,0.35,0,0,16.96,0,0,34.35
63461,10.02,0.18,35.66,21.97,7.8,2.07,0.73,9.75,15.62,3.38,5.56
63462,20.36,0,40.82,32.73,7.13,0,0.86,17.22,44.78,1.86,19.55
63463,10.9,0,46.91,29.87,1.67,0,6.8,10.76,6.82,1.2,7.03
63465,0.29,0,25,14.12,8.66,0,0,8.21,0,0,9.71
63468,13.96,0.54,38.71,25.67,9.06,1.71,0.69,8.55,32.02,6.47,12.57
63469,11.53,0,14.2,14.76,5.64,0,0.43,14.35,32.14,0.43,4.25
63471,2.95,0,0,8.04,3.02,0,0,11.95,51.11,0,1.02
63472,11.95,0,31.87,19.92,16.04,0.75,2.98,33.25,26.76,4.3,14.97
63473,5.98,0,12.12,2.39,0,0,4.65,3.93,,0,1.99
63474,12.98,0,17.24,25.7,9.09,0,0,9.28,73.33,2.56,7.38
63501,12.29,1.89,29.33,34.15,7.7,3.79,0.6,6.18,55.58,7.92,7.52
63530,12.05,2.21,28.65,26.18,10.47,0,1.91,18.7,31.71,3,11.72
63531,10.4,0.51,8.51,19.39,25.87,0,0,13.21,40,0,47.28
63532,21.68,0,27.61,19.52,9.43,0.44,0,17.31,56.6,6.73,5.27
63533,11.69,0,8.74,29.53,7.58,0.24,0,17.55,9.38,8.16,25.58
63534,21.43,0,13.78,27.16,9.54,0,0.55,13.13,50,1.65,15.69
63535,62.5,0,,37.5,0,0,0,43.75,,0,37.5
63536,8.16,0,24.01,20.65,9.7,0,0.27,13.33,23.73,3.81,20.75
63537,16.42,0,23.34,23.25,15.03,0.28,0,9.29,29.91,3.44,15
63538,14.77,0,6.67,26.51,7.73,0,0,21.43,,2.17,13.76
63539,19.31,1.79,7.14,25.32,10.69,0,2.11,11.45,0,16.84,16.74
63540,7.83,0,0,13.04,3,0,0,22.12,0,0,4.35
63541,13.8,0,7.53,7.74,12.38,0,4.55,25.21,0,0.57,8.42
63543,13.45,1.59,23.4,62.78,48.41,0,14.06,11.65,0,1.56,40.81
63544,17.39,0,22.16,29.24,15.26,0.79,0,19.29,3.7,9.66,7.31
63545,17.64,0.25,11.79,14.55,14.15,0.7,0.53,5.41,23.17,13.72,8.27
63546,16.87,0.17,16.99,22.05,14.8,0,0.17,12.09,17.81,2.59,8.33
63547,16.33,0,0,16.07,10.87,0,0,7.19,100,0,15.56
63548,15.38,0,46.09,27.57,12.73,6.46,0.56,7.75,35.87,1.95,15.56
63549,16.22,0.25,18.97,20.15,13.87,4.12,2.49,10.62,48.97,15.58,14.19
63551,1.55,0,49.21,17.78,1.87,0,16,23.58,0,2.67,10.31
63552,18.16,0.32,28.98,18.18,12.6,2.77,0.88,7.58,39.78,8.62,8.81
